customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract,payment_method,internet_service,online_security,tech_support,paperless_billing,monthly_charges,total_charges,churn
CUST-10000,Male,0,No,No,3,One year,Mailed check,DSL,No internet service,No,Yes,32.4,116.32,Yes
CUST-10001,Female,1,No,No,8,One year,Electronic check,Fiber optic,No internet service,No,Yes,92.4,782.45,Yes
CUST-10002,Male,0,No,No,23,One year,Mailed check,No,Yes,Yes,Yes,22.47,500.65,No
CUST-10003,Male,0,Yes,No,51,Month-to-month,Credit card,Fiber optic,No,Yes,No,38.25,1832.79,Yes
CUST-10004,Male,0,Yes,No,5,One year,Mailed check,Fiber optic,No internet service,No internet service,Yes,64.57,343.69,No
CUST-10005,Female,1,Yes,No,31,Month-to-month,Mailed check,Fiber optic,No,No,Yes,80.51,2377.49,Yes
CUST-10006,Male,0,Yes,Yes,7,Month-to-month,Electronic check,DSL,No,No,No,39.42,270.06,Yes
CUST-10007,Male,0,Yes,No,39,One year,Mailed check,Fiber optic,No,No,No,18.0,683.65,Yes
CUST-10008,Male,0,Yes,No,27,Month-to-month,Bank transfer,DSL,No,No internet service,Yes,77.76,1975.92,No
CUST-10009,Female,0,Yes,Yes,17,Month-to-month,Mailed check,Fiber optic,Yes,No,No,18.0,310.44,No
CUST-10010,Male,0,Yes,Yes,25,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,Yes,74.08,1913.06,No
CUST-10011,Male,0,Yes,No,50,Two year,Mailed check,Fiber optic,Yes,No,Yes,76.71,3859.33,No
CUST-10012,Male,0,No,No,11,One year,Electronic check,No,No,No internet service,No,113.79,1199.04,No
CUST-10013,Male,0,No,Yes,35,Month-to-month,Electronic check,DSL,No internet service,No internet service,No,82.19,2785.32,No
CUST-10014,Female,0,Yes,No,4,Month-to-month,Bank transfer,DSL,No internet service,No internet service,Yes,49.51,204.59,No
CUST-10015,Male,0,Yes,No,28,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,70.8,1968.79,Yes
CUST-10016,Female,0,Yes,Yes,33,Month-to-month,Bank transfer,No,No,No,Yes,92.29,2864.37,No
CUST-10017,Female,0,No,Yes,14,Two year,Mailed check,Fiber optic,No,Yes,Yes,74.88,1109.3,No
CUST-10018,Female,1,Yes,No,37,One year,Electronic check,No,No,No,Yes,61.52,2160.73,No
CUST-10019,Male,0,No,No,19,One year,Credit card,Fiber optic,No internet service,Yes,No,103.32,1996.44,No
CUST-10020,Female,1,Yes,No,66,Two year,Mailed check,No,No internet service,No,Yes,33.14,2117.77,No
CUST-10021,Male,0,Yes,No,2,One year,Bank transfer,No,Yes,No,Yes,19.59,60.51,No
CUST-10022,Female,0,Yes,Yes,3,One year,Mailed check,Fiber optic,No internet service,No,No,18.0,71.16,No
CUST-10023,Female,1,Yes,No,44,One year,Credit card,Fiber optic,Yes,Yes,Yes,108.22,4316.88,No
CUST-10024,Female,0,No,No,44,One year,Credit card,Fiber optic,No,Yes,Yes,40.22,1640.88,No
CUST-10025,Female,0,No,No,15,Two year,Bank transfer,No,Yes,No,Yes,55.15,772.95,No
CUST-10026,Female,0,No,No,72,One year,Bank transfer,DSL,No,No,Yes,68.57,4692.91,No
CUST-10027,Female,0,No,Yes,27,Month-to-month,Credit card,No,Yes,No,Yes,42.46,1167.41,No
CUST-10028,Female,0,No,No,72,Two year,Mailed check,Fiber optic,No,No internet service,Yes,100.72,7108.09,No
CUST-10029,Female,0,No,Yes,18,One year,Credit card,Fiber optic,Yes,No,Yes,99.59,1700.32,No
CUST-10030,Male,0,Yes,Yes,5,Month-to-month,Mailed check,DSL,No internet service,Yes,Yes,83.4,457.77,Yes
CUST-10031,Male,0,Yes,No,14,One year,Electronic check,Fiber optic,Yes,No,Yes,63.28,826.06,No
CUST-10032,Female,0,Yes,Yes,72,Month-to-month,Credit card,DSL,Yes,No internet service,No,47.25,3399.82,No
CUST-10033,Female,0,No,No,11,Two year,Bank transfer,No,No,No,Yes,32.02,379.35,No
CUST-10034,Female,0,Yes,Yes,72,Two year,Mailed check,DSL,No,No,No,71.89,5422.29,No
CUST-10035,Male,0,No,Yes,38,Month-to-month,Credit card,Fiber optic,No,No,No,48.16,1764.37,Yes
CUST-10036,Female,1,Yes,No,14,Two year,Credit card,Fiber optic,Yes,No internet service,Yes,81.56,1145.31,No
CUST-10037,Male,0,No,Yes,18,One year,Electronic check,Fiber optic,No,No,Yes,35.39,617.37,No
CUST-10038,Male,1,Yes,Yes,22,One year,Bank transfer,Fiber optic,Yes,Yes,No,22.14,460.83,No
CUST-10039,Male,0,Yes,No,26,Month-to-month,Mailed check,Fiber optic,Yes,No,Yes,93.1,2386.51,Yes
CUST-10040,Male,0,No,Yes,1,Month-to-month,Bank transfer,DSL,No,No internet service,Yes,60.16,79.47,No
CUST-10041,Male,0,Yes,Yes,65,Month-to-month,Electronic check,No,No internet service,No internet service,No,83.64,5137.41,No
CUST-10042,Female,0,No,No,21,Month-to-month,Electronic check,DSL,No,Yes,Yes,94.0,1865.39,Yes
CUST-10043,Female,0,Yes,Yes,64,Month-to-month,Electronic check,No,Yes,Yes,No,51.52,3126.5,No
CUST-10044,Female,0,Yes,No,23,Two year,Electronic check,Fiber optic,Yes,No,Yes,18.0,425.16,Yes
CUST-10045,Female,0,No,Yes,13,Two year,Electronic check,DSL,Yes,Yes,Yes,120.0,1583.23,No
CUST-10046,Female,1,No,Yes,20,Month-to-month,Mailed check,Fiber optic,Yes,No,No,118.02,2399.52,No
CUST-10047,Male,0,Yes,No,42,Month-to-month,Bank transfer,Fiber optic,No,Yes,No,75.94,3023.1,No
CUST-10048,Female,0,No,No,9,Two year,Electronic check,Fiber optic,No,Yes,Yes,57.67,553.79,No
CUST-10049,Female,0,No,Yes,72,Month-to-month,Mailed check,DSL,Yes,Yes,Yes,46.65,3287.41,No
CUST-10050,Male,0,No,No,15,Two year,Mailed check,No,No,Yes,Yes,77.73,1165.22,No
CUST-10051,Female,0,Yes,Yes,72,One year,Bank transfer,Fiber optic,No,Yes,No,84.73,5719.44,No
CUST-10052,Male,0,Yes,Yes,51,One year,Electronic check,Fiber optic,Yes,No,No,62.81,3087.09,No
CUST-10053,Female,1,No,No,35,Month-to-month,Electronic check,Fiber optic,No internet service,No,Yes,41.46,1337.23,No
CUST-10054,Male,0,No,Yes,15,Month-to-month,Mailed check,DSL,No,Yes,No,94.94,1425.0,No
CUST-10055,Female,0,No,No,21,Month-to-month,Bank transfer,DSL,No,Yes,Yes,45.37,984.52,No
CUST-10056,Female,0,Yes,Yes,43,Month-to-month,Electronic check,DSL,Yes,No,Yes,95.12,4034.6,No
CUST-10057,Male,0,Yes,No,18,One year,Electronic check,No,No,No internet service,Yes,55.89,974.69,No
CUST-10058,Male,0,No,No,32,Month-to-month,Bank transfer,DSL,No,Yes,Yes,114.89,3789.17,No
CUST-10059,Male,0,Yes,No,37,Month-to-month,Mailed check,Fiber optic,No internet service,Yes,No,32.57,1115.0,Yes
